2026-06-23T10:36:53.2381532+08:00
view=BaseWindowSkin
img[22]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/lung_con/star_bg activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=uilwmb_022 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-1.00, -1.00) size=(56.00, 25.00)
img[23]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/lung_con/_Group1/_Image1 activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_star color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(28.25, -1.00) size=(24.00, 24.00)
img[24]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/skillImg activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=jineng color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(5.00, -5.00) size=(42.00, 42.00)
img[25]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/_bad_icon activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_bad color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(12.00, -85.00) size=(31.00, 30.00)
img[26]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/_img_awaken activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=soil_awaken color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(4.00, -7.00) size=(38.00, 38.00)
img[27]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/_img_tips activeSelf=True activeInHierarchy=False enabled=False raycast=False sprite=null color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, -1.00) size=(100.00, 100.00)
img[28]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/starEquipGp/starEquipStarBg activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=flag1 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, -1.00) size=(28.00, 43.00)
img[29]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/starEquipGp/starE0 activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=uixzsy_007 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(3.00, -1.00) size=(22.00, 21.00)
img[30]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/starEquipGp/starE1 activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=uixzsy_007 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(3.00, -24.00) size=(22.00, 21.00)
img[31]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/starEquipGp/starE2 activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=uixzsy_007 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(3.00, -47.00) size=(22.00, 21.00)
img[32]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/starEquipGp/starE3 activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=uixzsy_007 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(3.00, -70.00) size=(22.00, 21.00)
img[33]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/starEquipGp/starEquipNum activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=uixzsy_008 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(5.00, -2.00) size=(18.00, 23.00)
img[34]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/_pet_equip_gp/petEquip activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=uiwg_color_0 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, 0.00) size=(68.00, 27.00)
img[35]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/_pet_equip_gp/Image activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_star color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(39.00, -13.50) size=(24.00, 24.00)
img[36]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/god_icon activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_empty color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-50.00, -15.00) size=(35.00, 35.00)
img[37]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/star_group/star_0 activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_star color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, -1.00) size=(32.00, 32.00)
img[38]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/star_group/star_1 activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_star color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, -26.00) size=(32.00, 32.00)
img[39]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/star_group/star_2 activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_star color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, -51.00) size=(32.00, 32.00)
img[40]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/star_group/star_3 activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_star color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, -76.00) size=(32.00, 32.00)
img[41]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/click_group/time_limit activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=bag_limit color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(6.00, -6.00) size=(67.00, 40.00)
img[42]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/__Templates/BaseAwardItem/click_group/item_bg activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_goods_plate_0 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-65.00, 65.00) size=(130.00, 130.00)
img[43]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/__Templates/BaseAwardItem/click_group/icon activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_empty color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-45.00, 45.00) size=(90.00, 90.00)
img[44]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/__Templates/BaseAwardItem/click_group/lock activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_lock_1 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-37.68, 36.68) size=(22.00, 22.00)
img[45]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/__Templates/BaseAwardItem/click_group/select_image activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_selectbg4 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-75.00, 77.00) size=(150.00, 150.00)
img[46]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_1/__Templates/EquipmentItem/__Templates/BaseAwardItem/click_group/time_limit activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=bag_limit color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(14.00, -5.00) size=(37.00, 23.00)
img[47]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/scaleGp/icon_bg activeSelf=True activeInHierarchy=True enabled=True raycast=False sprite=uihl_008 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-40.00, 41.00) size=(80.00, 82.00)
img[48]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/scaleGp/lock_icon activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_empty color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-45.00, 45.00) size=(90.00, 90.00)
img[49]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/scaleGp/_img_add activeSelf=True activeInHierarchy=True enabled=True raycast=False sprite=com_ui_11 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(49.64, -48.92) size=(30.00, 30.00)
img[50]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/scaleGp/red_dot activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_red_point color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(59.01, 0.00) size=(28.00, 29.00)
img[51]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/BaseAwardItem/click_group/item_bg activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_goods_plate_0 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-65.00, 65.00) size=(130.00, 130.00)
img[52]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/BaseAwardItem/click_group/icon activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_empty color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-45.00, 45.00) size=(90.00, 90.00)
img[53]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/BaseAwardItem/click_group/lock activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_lock_1 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-37.68, 36.68) size=(22.00, 22.00)
img[54]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/BaseAwardItem/click_group/select_image activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_selectbg4 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-75.00, 77.00) size=(150.00, 150.00)
img[55]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/BaseAwardItem/click_group/time_limit activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=bag_limit color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(14.00, -5.00) size=(37.00, 23.00)
img[56]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/item_bg activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_goods_plate_0 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, 0.00) size=(127.00, 127.00)
img[57]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/icon activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_empty color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-52.50, 52.50) size=(105.00, 105.00)
img[58]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/lock activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_lock_1 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(90.00, -85.00) size=(30.00, 30.00)
img[59]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/select_image activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_selectbg4 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-65.00, 65.00) size=(128.00, 128.00)
img[60]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/_img_grade_bg activeSelf=True activeInHierarchy=False enabled=False raycast=False sprite=null color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-72.50, 155.00) size=(100.00, 100.00)
img[61]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/red_dot activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_red_point color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(107.00, -1.00) size=(20.00, 20.00)
img[62]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/up_image activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=UP color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(77.00, -4.00) size=(46.00, 41.00)
img[63]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/lung_con/star_bg activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=uilwmb_022 color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(-1.00, -1.00) size=(56.00, 25.00)
img[64]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/lung_con/_Group1/_Image1 activeSelf=True activeInHierarchy=False enabled=True raycast=False sprite=com_star color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(28.25, -1.00) size=(24.00, 24.00)
img[65]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/skillImg activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=jineng color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(5.00, -5.00) size=(42.00, 42.00)
img[66]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/_bad_icon activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=com_bad color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(12.00, -85.00) size=(31.00, 30.00)
img[67]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/_img_awaken activeSelf=False activeInHierarchy=False enabled=True raycast=False sprite=soil_awaken color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(4.00, -7.00) size=(38.00, 38.00)
img[68]=_root_gp/_gp_item_con/BagComponentView/leftGp/BagEquipmentIcon_3/__Templates/EquipmentItem/click_group/_img_tips activeSelf=True activeInHierarchy=False enabled=False raycast=False sprite=null color=RGBA(1.000, 1.000, 1.000, 1.000) pos=(0.00, -1.00) size=(100.00, 100.00)
